id_inst;nombre_inst;id_depa;nombre_depa;id_muni;nombre_muni;telefono
9908;UNIVERSIDAD DEL VALLE;Valle del Cauca;Valle del Cauca;76111;Guadalajara de Buga;2370000
9909;UNIVERSIDAD DEL VALLE;Valle del Cauca;Valle del Cauca;76895;Zarzal;2222091
9910;FUNDACION UNIVERSITARIA LUIS G. PAEZ - UNILUISGPAEZ;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3452497
9911;UNIVERSIDAD DEL VALLE;Valle del Cauca;Valle del Cauca;76109;Buenaventura;1
9912;UNIVERSIDAD DEL VALLE;Valle del Cauca;Valle del Cauca;76520;Palmira;2704760
9913;CORPORACION UNIVERSITARIA DE ASTURIAS;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;7956999
9914;ESEIT - ESCUELA SUPERIOR DE EMPRESA INGENIERÍA Y TECNOLOGÍA;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;5521860
9915;UNIVERSITARIA VIRTUAL INTERNACIONAL;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;7421994
9918;INSTITUCION UNIVERSITARIA CONOCIMIENTO E INNOVACION PARA LA JUSTICIA - CIJ;Cundinamarca;Cundinamarca;25214;Cota;6831062
9919;TECNOLOGICO DE ENERGIA E INNOVACION-  E-LERNOVA;Cundinamarca;Cundinamarca;25175;Chía;8844310
9920;UNIVERSIDAD NACIONAL DE COLOMBIA;Nariño;Nariño;52835;San Andrés de Tumaco;3165000
9921;FUNDACION UNIVERSITARIA CATOLICA DEL SUR - UNICATOLICA DEL SUR;Nariño;Nariño;52001;Pasto;7216608
9922;FUNDACION UNIVERSITARIA COMFAMILIAR RISARALDA;Risaralda;Risaralda;66001;Pereira;3172400
9923;CORPORACION UNIVERSITARIA DE CATALUÑA;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;6372511
9924;FUNDACION UNIVERSITARIA INTERNACIONAL DE COLOMBIA - UNINCOL;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;7810645
9925;FUNDACION UNIVERSITARIA FCV;Santander;Santander;68276;Floridablanca;6399292
9926;FUNDACION UNIVERSITARIA INTERNACIONAL DE LA RIOJA - UNIR;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;5169659
9927;INSTITUCION UNIVERSITARIA DIGITAL DE ANTIOQUIA -IU. DIGITAL;Antioquia;Antioquia;5001;Medellín;3835160
9928;FUNDACIÓN UNIVERSITARIA SALESIANA;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;7462738
9929;UNIVERSIDAD AUTÓNOMA INDÍGENA INTERCULTURAL - UAIIN;Cauca;Cauca;19001;Popayán;8240343
9930;INSTITUCIÓN UNIVERSITARIA COMANDO DE EDUCACIÓN Y DOCTRINA - CEDOC DEL EJÉRCITO NACIONAL;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3150111
9931;FUNDACIÓN UNIVERSITARIA PATRICIO SYMES;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;2172183
9932;FUNDACIÓN UNIVERSITARIA SAN PABLO - UNISANPABLO;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;6711221
9933;UNIVERSIDAD NACIONAL DE COLOMBIA;Cesar;Cesar;20621;La Paz;3165000
9934;CENTRO DE ESTUDIOS AERONÁUTICOS - CEA;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;2962645
9935;UNIDAD TECNOLÓGICA DEL MAGDALENA MEDIO - UTEM -;Santander;Santander;68081;Barrancabermeja;6024379
9936;CORPORACIÓN UNIVERSITARIA AUTÓNOMA DEL NORTE;Norte de Santander;Norte de Santander;54001;San José de Cúcuta;7557153
;;;;;;
;;;;;;
;;;;; ;
